module,c_index,n_events,top_features
BBB_2014J,0.9882,180,"['weekly_clicks', 'any_unusual_region', 'low_education', 'studied_credits', 'week']"
DDD_2013B,0.9872,130,"['weekly_clicks', 'studied_credits', 'any_unusual_region', 'low_education', 'week']"
FFF_2013B,0.989,114,"['weekly_clicks', 'low_education', 'any_unusual_region', 'studied_credits', 'week']"
GGG_2014B,0.9772,9,"['weekly_clicks', 'studied_credits', 'low_education', 'week', 'any_unusual_region']"
EEE_2014B,0.9906,25,"['weekly_clicks', 'low_education', 'any_unusual_region', 'studied_credits', 'week']"
AAA_2013J,0.9839,25,"['weekly_clicks', 'any_unusual_region', 'low_education', 'studied_credits', 'week']"
CCC_2014J,0.9859,424,"['weekly_clicks', 'low_education', 'studied_credits', 'any_unusual_region', 'week']"
AAA_2014J,0.9801,34,"['any_unusual_region', 'studied_credits', 'weekly_clicks', 'low_education', 'week']"
BBB_2013J,0.9912,81,"['studied_credits', 'low_education', 'weekly_clicks', 'any_unusual_region', 'week']"
FFF_2014B,0.9914,117,"['weekly_clicks', 'low_education', 'any_unusual_region', 'studied_credits', 'week']"
DDD_2014B,0.9879,124,"['weekly_clicks', 'studied_credits', 'any_unusual_region', 'low_education', 'week']"
GGG_2013J,0.983,8,"['weekly_clicks', 'low_education', 'week', 'studied_credits', 'any_unusual_region']"
EEE_2013J,0.9911,50,"['weekly_clicks', 'studied_credits', 'low_education', 'week', 'any_unusual_region']"
CCC_2014B,0.9842,249,"['weekly_clicks', 'low_education', 'studied_credits', 'any_unusual_region', 'week']"
BBB_2013B,0.9838,88,"['weekly_clicks', 'low_education', 'studied_credits', 'any_unusual_region', 'week']"
DDD_2014J,0.991,257,"['weekly_clicks', 'studied_credits', 'any_unusual_region', 'low_education', 'week']"
FFF_2014J,0.9904,329,"['weekly_clicks', 'studied_credits', 'low_education', 'any_unusual_region', 'week']"
BBB_2014B,0.9847,53,"['weekly_clicks', 'studied_credits', 'any_unusual_region', 'low_education', 'week']"
FFF_2013J,0.9913,182,"['weekly_clicks', 'studied_credits', 'low_education', 'week', 'any_unusual_region']"
DDD_2013J,0.9902,185,"['weekly_clicks', 'studied_credits', 'any_unusual_region', 'low_education', 'week']"
EEE_2014J,0.99,103,"['weekly_clicks', 'studied_credits', 'low_education', 'any_unusual_region', 'week']"
GGG_2014J,0.9842,27,"['weekly_clicks', 'any_unusual_region', 'studied_credits', 'low_education', 'week']"
