module,n_ids,n_events,mean_train_c,mean_test_c,std_test_c
AAA_2013J,376,25,0.912,0.845,0.183
AAA_2014J,352,34,0.921,0.823,0.184
BBB_2013B,1506,88,0.933,0.918,0.05
BBB_2013J,1812,81,0.932,0.919,0.025
BBB_2014B,1251,53,0.949,0.925,0.041
BBB_2014J,1860,180,0.953,0.949,0.011
CCC_2014B,1604,249,0.942,0.94,0.008
CCC_2014J,2198,424,0.95,0.948,0.015
DDD_2013B,1176,130,0.9,0.882,0.065
DDD_2013J,1683,185,0.939,0.937,0.026
DDD_2014B,1066,124,0.927,0.922,0.033
DDD_2014J,1574,257,0.958,0.957,0.016
EEE_2013J,931,50,0.913,0.889,0.062
EEE_2014B,606,25,0.917,0.885,0.083
EEE_2014J,1060,103,0.919,0.909,0.057
FFF_2013B,1478,114,0.929,0.921,0.049
FFF_2013J,2019,182,0.936,0.934,0.019
FFF_2014B,1325,117,0.943,0.938,0.024
FFF_2014J,2038,329,0.944,0.941,0.018
GGG_2014J,689,27,0.947,0.921,0.052
